placement_id,candidate_id,placement_status,time_to_hire_days,offered_salary_gbp,offer_accepted,client_satisfaction_score,rehire_likelihood,placement_fee_gbp,estimated_fee_value_gbp,interview_rounds,hiring_manager,recruiter_assigned,client_company,client_industry,role_title,contract_type,placement_region,start_date,end_date,probation_outcome,performance_rating,invoice_status,replacement_required
92719110,6572141,completed,42,80500,pending,10,yes,10,8050,3,Claire Robinson,James Wilson,Foyle Secure Networks,Energy,UX Designer,permanent,Wales,2024-02-05,2024-05-17,not applicable,10,paid,no
44576778,6488339,on probation,31,40500,yes,6,maybe,15,6075,2,Sanjay Rao,Amira Khan,MetroGov Digital,Energy,IoT Security Engineer,contract,Scotland,2024-10-04,,not applicable,,not invoiced,no
87844874,3910874,active,25,33500,yes,7,maybe,13,4355,3,Patrick Murphy,Sean O'Donnell,Aster Cloud Systems,Financial Services,Cybersecurity Analyst,contract,Northern Ireland,2023-05-02,,not applicable,5,paid,no
80044045,3389551,terminated,42,62500,yes,3,no,14,8750,3,Robert Lewis,Megan Campbell,Nimbus Cyber Defence,Energy,Finance Analyst,fixed-term,Scotland,2025-08-16,2026-04-10,not applicable,2,paid,yes
13183002,8688429,active,36,26000,yes,7,maybe,12,3120,2,Robert Lewis,James Wilson,GreenGrid Energy,Public Sector,Marketing Analyst,permanent,Remote,2024-12-28,,not applicable,7,paid,no
16963613,1920871,extended contract,37,35500,yes,10,yes,17,6035,2,Patrick Murphy,Thomas Wright,Orion Telecom,Healthcare,Data Engineer,permanent,Northern Ireland,2023-03-03,2024-09-29,failed,10,partially paid,no
50208806,7393366,active,32,46000,yes,8,maybe,18,8280,1,Emma Collins,Amira Khan,Pioneer Manufacturing,Manufacturing,UX Designer,contract,Scotland,2023-12-21,,not applicable,9,paid,no
25708597,5113186,active,19,44000,yes,5,no,20,8800,3,Claire Robinson,Naomi Patel,Foyle Secure Networks,Telecommunications,AI Research Engineer,permanent,Republic of Ireland,2024-08-22,,not applicable,5,paid,no
75108412,9124138,terminated,48,102000,yes,3,no,16,16320,3,Claire Robinson,Priya Nair,Vertex Retail Solutions,Cybersecurity,Machine Learning Engineer,temp-to-perm,England,2024-03-08,2024-07-20,passed,3,paid,yes
42281028,8087691,on probation,32,60500,yes,5,no,19,11495,4,Robert Lewis,Priya Nair,Silverline Payments,Telecommunications,IoT Security Engineer,permanent,Scotland,2025-06-07,,extended,,pending,no
13647940,2565104,terminated,20,44000,yes,6,maybe,15,6600,2,Sanjay Rao,Sean O'Donnell,Aster Cloud Systems,Financial Services,Software Engineer,fixed-term,Wales,2025-12-05,2026-05-14,failed,4,paid,no
28264521,4397277,active,48,37500,yes,10,maybe,18,6750,1,Emma Collins,Grace Mitchell,Summit Learning Tech,Retail,Business Analyst,permanent,England,2025-08-03,,not applicable,10,paid,no
92313691,4065022,active,17,44000,yes,10,yes,20,8800,2,Hannah Foster,Sean O'Donnell,Summit Learning Tech,Logistics,AI Research Engineer,permanent,Republic of Ireland,2023-12-07,,not applicable,10,paid,no
76499046,9894295,on probation,28,100000,yes,8,yes,20,20000,1,Oliver Green,Grace Mitchell,Nimbus Cyber Defence,Telecommunications,AI Research Engineer,contract,Republic of Ireland,2024-02-10,,passed,,partially paid,no
58681447,7095266,terminated,28,98500,yes,4,maybe,19,18715,3,Laura Bennett,James Wilson,MetroGov Digital,Education,AI Research Engineer,permanent,Republic of Ireland,2024-07-02,2025-06-22,passed,4,paid,yes
63602793,5592762,active,33,59500,yes,6,maybe,10,5950,1,Sanjay Rao,Daniel Hughes,BrightPath Software,Retail,Frontend Developer,permanent,Scotland,2024-01-08,,not applicable,4,pending,no
17268859,9250634,terminated,27,41000,yes,6,yes,10,4100,3,Sanjay Rao,Thomas Wright,Pioneer Manufacturing,Retail,IoT Security Engineer,contract,Wales,2026-03-09,2027-05-21,not applicable,4,not invoiced,no
76583048,2256403,active,48,56500,yes,7,yes,11,6215,4,Michael Turner,Daniel Hughes,Nimbus Cyber Defence,Public Sector,Machine Learning Engineer,contract,Remote,2023-09-19,,not applicable,6,paid,no
70856849,5172922,extended contract,35,29500,yes,7,maybe,17,5015,2,Hannah Foster,Thomas Wright,NorthBridge Analytics,Retail,Full Stack Developer,contract,Scotland,2025-08-26,2027-03-22,passed,7,paid,no
39575708,5877442,active,36,27500,yes,7,maybe,12,3300,4,Robert Lewis,Naomi Patel,Redstone AI,Financial Services,Marketing Analyst,permanent,Republic of Ireland,2023-05-30,,not applicable,5,paid,no
59842730,8485152,active,41,36000,yes,7,maybe,19,6840,2,Hannah Foster,Daniel Hughes,BrightPath Software,Retail,IoT Security Engineer,fixed-term,Remote,2025-05-23,,not applicable,6,paid,no
13871277,7922180,completed,50,83000,yes,8,yes,18,14940,4,Emma Collins,Thomas Wright,GreenGrid Energy,Technology,Cloud Engineer,permanent,Remote,2023-03-17,2023-12-12,passed,9,pending,no
41867441,7689251,active,60,51500,yes,10,yes,15,7725,4,Michael Turner,Thomas Wright,Summit Learning Tech,Consulting,Database Administrator,permanent,Scotland,2023-09-26,,not applicable,8,paid,no
75151539,7310831,active,20,44500,pending,6,maybe,20,8900,3,Eoin Kelly,Megan Campbell,Cobalt Consulting,Education,Database Administrator,fixed-term,Republic of Ireland,2024-12-28,,not applicable,4,pending,no
59379892,9952874,extended contract,37,37500,yes,7,maybe,20,7500,2,Marta Nowak,Daniel Hughes,Aster Cloud Systems,Education,Business Analyst,permanent,Northern Ireland,2024-06-11,2025-07-23,extended,8,pending,no
37114045,6368036,terminated,44,35500,yes,6,maybe,17,6035,3,Michael Turner,Sean O'Donnell,Aster Cloud Systems,Financial Services,Data Engineer,permanent,Wales,2025-10-01,2027-01-01,passed,6,paid,no
51001541,6354776,on probation,40,93000,yes,8,yes,12,11160,2,Oliver Green,Daniel Hughes,Redstone AI,Energy,Sales Engineer,contract,Republic of Ireland,2024-06-05,,not applicable,,pending,no
53186760,8973936,on probation,42,49000,yes,7,maybe,10,4900,3,Patrick Murphy,Sofia Garcia,GreenGrid Energy,Public Sector,Data Engineer,contract,Remote,2024-10-12,,passed,,pending,no
51275980,7386921,active,39,61500,yes,7,no,19,11685,2,Eoin Kelly,Amira Khan,Vertex Retail Solutions,Education,Solutions Architect,permanent,Wales,2025-11-11,,not applicable,7,paid,no
88654031,5268726,on probation,19,73500,yes,6,no,20,14700,2,Nadia Hussain,Adam Clarke,Pioneer Manufacturing,Telecommunications,Product Manager,permanent,Remote,2024-03-30,,failed,,paid,no
50071766,5483212,extended contract,15,30000,yes,8,yes,17,5100,1,Sanjay Rao,Daniel Hughes,Cedar Finance Group,Telecommunications,Cloud Engineer,permanent,Republic of Ireland,2025-11-04,2027-02-06,not applicable,8,partially paid,no
81389789,2031518,terminated,42,29000,no,2,no,15,4350,2,Robert Lewis,Megan Campbell,Summit Learning Tech,Public Sector,UX Designer,contract,England,2025-02-02,2026-04-28,passed,2,pending,yes
48343261,4189932,on probation,15,44000,yes,1,no,11,4840,3,Marta Nowak,Adam Clarke,NorthBridge Analytics,Logistics,Project Manager,permanent,Remote,2025-12-30,,passed,,paid,no
92604642,1099526,terminated,40,43000,yes,5,maybe,16,6880,3,Nadia Hussain,Daniel Hughes,Orion Telecom,Technology,Marketing Analyst,permanent,Remote,2024-02-16,2025-08-08,failed,3,paid,yes
88678630,7280550,active,34,52500,yes,9,yes,10,5250,4,Marta Nowak,Sofia Garcia,Silverline Payments,Public Sector,UX Designer,permanent,Wales,2024-04-17,,not applicable,8,paid,no
97530087,9338514,terminated,5,43000,yes,4,no,10,4300,3,Eoin Kelly,Holly Evans,Silverline Payments,Public Sector,Data Analyst,permanent,Remote,2024-08-05,2024-10-29,extended,4,pending,yes
63879403,9841898,completed,64,34500,yes,10,yes,15,5175,4,Laura Bennett,Daniel Hughes,Orion Telecom,Telecommunications,Sales Engineer,fixed-term,Northern Ireland,2024-10-08,2025-05-18,extended,8,pending,no
57211121,3184771,completed,25,54500,yes,7,yes,11,5995,3,Robert Lewis,Naomi Patel,Harbourline Logistics,Manufacturing,Project Manager,fixed-term,England,2024-10-21,2024-12-14,passed,7,partially paid,no
25241847,1635921,completed,42,52000,yes,9,yes,20,10400,4,Hannah Foster,Thomas Wright,BlueHarbour Health,Public Sector,Business Analyst,permanent,Wales,2025-01-28,2025-07-30,not applicable,9,partially paid,no
21186807,2808480,extended contract,55,58000,yes,10,yes,11,6380,4,Michael Turner,Thomas Wright,Cedar Finance Group,Logistics,Full Stack Developer,contract,Republic of Ireland,2023-05-31,2024-07-30,not applicable,9,paid,no
24742151,9346470,completed,48,59000,yes,7,maybe,17,10030,3,Marta Nowak,Sofia Garcia,MetroGov Digital,Education,Solutions Architect,permanent,England,2023-03-17,2024-02-25,passed,5,paid,no
45797648,4269851,active,45,48000,yes,6,maybe,17,8160,4,Oliver Green,Sofia Garcia,Cedar Finance Group,Financial Services,Business Analyst,permanent,Northern Ireland,2024-08-05,,not applicable,5,not invoiced,no
32698640,5972267,active,34,43000,yes,9,yes,14,6020,3,Oliver Green,Sofia Garcia,Aster Cloud Systems,Manufacturing,Project Manager,permanent,Wales,2025-11-07,,not applicable,7,paid,no
14448916,2692793,active,46,32000,yes,5,no,19,6080,2,Patrick Murphy,Sean O'Donnell,Nimbus Cyber Defence,Public Sector,QA Engineer,permanent,England,2023-03-31,,not applicable,6,pending,no
62531860,6787929,active,22,56000,yes,9,yes,10,5600,5,Eoin Kelly,Priya Nair,BrightPath Software,Education,HR Coordinator,permanent,Northern Ireland,2024-11-09,,not applicable,9,paid,no
87531807,6178639,active,30,43000,yes,8,yes,13,5590,3,Michael Turner,Naomi Patel,Lagan Data Labs,Cybersecurity,Project Manager,fixed-term,Northern Ireland,2024-11-16,,not applicable,8,pending,no
90997039,1779039,terminated,31,67500,yes,5,no,20,13500,5,Patrick Murphy,Grace Mitchell,GreenGrid Energy,Financial Services,Machine Learning Engineer,permanent,Remote,2025-11-23,2026-03-20,failed,4,not invoiced,yes
92649781,1124631,active,39,40000,yes,7,yes,17,6800,2,Claire Robinson,Amira Khan,Nimbus Cyber Defence,Cybersecurity,Cloud Engineer,fixed-term,Wales,2025-09-24,,not applicable,8,paid,no
40134967,6948110,on probation,51,61000,yes,6,yes,18,10980,2,Patrick Murphy,Thomas Wright,Cedar Finance Group,Education,SOC Analyst,permanent,Remote,2025-05-19,,passed,,paid,no
10084683,8997154,on probation,26,83000,yes,6,maybe,16,13280,4,Michael Turner,Naomi Patel,Cobalt Consulting,Energy,Backend Developer,contract,Remote,2024-01-31,,passed,,paid,no
27955538,7612182,completed,36,53000,yes,9,yes,20,10600,1,Hannah Foster,Naomi Patel,MetroGov Digital,Healthcare,SOC Analyst,contract,Northern Ireland,2023-06-23,2023-11-06,extended,7,paid,no
26876243,5781458,active,19,52500,yes,7,maybe,18,9450,2,Claire Robinson,Amira Khan,MetroGov Digital,Education,Network Engineer,contract,Northern Ireland,2025-03-13,,not applicable,7,paid,no
16197973,5896858,extended contract,27,51500,yes,9,maybe,13,6695,1,Claire Robinson,Megan Campbell,Orion Telecom,Cybersecurity,Product Manager,contract,Wales,2025-04-22,2026-05-18,not applicable,10,pending,no
67060057,4998324,terminated,25,41000,yes,3,no,15,6150,4,Laura Bennett,Sofia Garcia,NorthBridge Analytics,Energy,Data Engineer,contract,Remote,2026-03-30,2027-06-18,extended,4,paid,yes
50581850,1589757,active,36,35500,yes,5,no,11,3905,4,Patrick Murphy,Megan Campbell,MetroGov Digital,Technology,IoT Security Engineer,permanent,Northern Ireland,2025-01-21,,not applicable,6,not invoiced,no
30275942,7996999,completed,25,62500,yes,9,yes,15,9375,2,Robert Lewis,James Wilson,Nimbus Cyber Defence,Cybersecurity,Sales Engineer,permanent,Remote,2024-03-12,2025-05-20,failed,7,paid,no
95789416,6737991,terminated,35,78000,yes,6,maybe,20,15600,4,Robert Lewis,Sofia Garcia,Silverline Payments,Financial Services,Frontend Developer,permanent,Northern Ireland,2023-07-06,2024-08-22,not applicable,6,paid,no
69163382,5723556,on probation,50,29500,yes,7,maybe,11,3245,4,Emma Collins,Naomi Patel,GreenGrid Energy,Retail,Frontend Developer,permanent,England,2023-05-05,,not applicable,,pending,no
54958461,8431785,extended contract,38,49000,yes,8,yes,16,7840,2,Patrick Murphy,Thomas Wright,Lagan Data Labs,Telecommunications,Network Engineer,fixed-term,England,2025-05-24,2026-05-24,failed,9,paid,no
60709245,8122989,completed,38,37500,yes,7,yes,13,4875,2,Eoin Kelly,Sofia Garcia,MetroGov Digital,Financial Services,Full Stack Developer,fixed-term,Wales,2024-04-11,2025-08-24,passed,8,paid,no
76419467,6580142,extended contract,23,52500,yes,8,yes,19,9975,3,Sanjay Rao,Sean O'Donnell,Redstone AI,Technology,QA Engineer,permanent,Republic of Ireland,2023-12-27,2024-06-29,failed,6,paid,no
24709524,6786594,extended contract,36,64000,yes,7,no,14,8960,2,Sanjay Rao,Holly Evans,Harbourline Logistics,Education,IoT Security Engineer,contract,Northern Ireland,2025-11-27,2027-08-07,failed,5,paid,no
70027673,6312885,active,49,42000,yes,8,yes,13,5460,2,Nadia Hussain,Daniel Hughes,Lagan Data Labs,Telecommunications,Finance Analyst,permanent,Republic of Ireland,2024-08-03,,not applicable,6,paid,no
40315294,8444027,terminated,11,36000,pending,3,maybe,17,6120,2,Nadia Hussain,Amira Khan,NorthBridge Analytics,Manufacturing,HR Coordinator,contract,Republic of Ireland,2025-12-30,2026-03-30,failed,3,pending,yes
45681062,2848330,terminated,65,95000,yes,6,maybe,18,17100,4,Nadia Hussain,Adam Clarke,Lagan Data Labs,Telecommunications,Machine Learning Engineer,fixed-term,England,2024-09-23,2025-07-26,failed,5,paid,no
12378538,2364292,on probation,19,47500,yes,4,no,11,5225,4,Robert Lewis,Daniel Hughes,BrightPath Software,Healthcare,QA Engineer,fixed-term,Republic of Ireland,2024-12-25,,failed,,paid,no
56977851,3225479,on probation,51,64000,yes,7,maybe,13,8320,4,Patrick Murphy,Priya Nair,Harbourline Logistics,Retail,Business Analyst,permanent,Scotland,2025-06-07,,not applicable,,paid,no
44708286,4246700,terminated,31,51000,no,3,no,17,8670,2,Eoin Kelly,Daniel Hughes,Cedar Finance Group,Energy,Solutions Architect,fixed-term,Remote,2025-08-01,2026-12-19,passed,1,pending,yes
93000130,8552539,completed,45,66000,yes,7,yes,19,12540,4,Hannah Foster,Sofia Garcia,Pioneer Manufacturing,Healthcare,IoT Security Engineer,contract,Wales,2025-03-11,2025-10-02,not applicable,6,paid,no
68231620,4952914,on probation,37,73500,no,2,maybe,17,12495,2,Michael Turner,Adam Clarke,QuantumWorks,Consulting,Cybersecurity Analyst,permanent,Remote,2024-06-16,,passed,,not invoiced,no
49621448,4220083,terminated,9,58500,no,2,maybe,16,9360,5,Marta Nowak,Grace Mitchell,Redstone AI,Public Sector,Database Administrator,permanent,Republic of Ireland,2025-01-28,2025-05-18,passed,1,pending,yes
97907145,1335036,terminated,9,63000,no,5,no,13,8190,2,Claire Robinson,Thomas Wright,BlueHarbour Health,Education,Solutions Architect,temp-to-perm,Republic of Ireland,2023-03-11,2024-05-04,not applicable,5,pending,yes
88328650,1768212,terminated,41,54500,pending,2,no,19,10355,3,Hannah Foster,Daniel Hughes,BlueHarbour Health,Cybersecurity,Project Manager,fixed-term,Republic of Ireland,2023-12-29,2024-05-21,extended,3,pending,yes
21301710,8962369,extended contract,50,35500,yes,7,yes,19,6745,4,Laura Bennett,Naomi Patel,Cedar Finance Group,Public Sector,SOC Analyst,temp-to-perm,Wales,2023-11-06,2025-09-25,not applicable,6,paid,no
47094224,6394469,terminated,43,49000,pending,6,yes,14,6860,4,Michael Turner,Naomi Patel,Pioneer Manufacturing,Energy,Backend Developer,contract,England,2025-03-13,2025-11-19,not applicable,4,paid,no
91400661,2849636,completed,43,40500,yes,8,yes,14,5670,2,Laura Bennett,Adam Clarke,Orion Telecom,Logistics,Marketing Analyst,permanent,Scotland,2025-07-28,2026-06-30,passed,9,paid,no
50571737,6791334,completed,52,25500,yes,8,maybe,17,4335,1,Claire Robinson,James Wilson,Foyle Secure Networks,Logistics,Data Analyst,contract,Wales,2023-09-22,2023-12-28,extended,8,partially paid,no
88461790,7033968,active,35,74500,yes,8,yes,18,13410,4,Patrick Murphy,Thomas Wright,Summit Learning Tech,Logistics,Cybersecurity Analyst,temp-to-perm,Scotland,2025-07-19,,not applicable,7,paid,no
36524512,3805529,terminated,43,80500,no,4,no,11,8855,4,Robert Lewis,Holly Evans,GreenGrid Energy,Education,Data Engineer,fixed-term,Scotland,2025-11-29,2027-04-08,passed,5,paid,yes
55902692,9210062,extended contract,27,81000,yes,10,yes,12,9720,3,Laura Bennett,Sean O'Donnell,Foyle Secure Networks,Logistics,IoT Security Engineer,permanent,Scotland,2024-04-07,2024-11-09,failed,10,paid,no
19014117,2338300,terminated,34,59000,no,1,no,11,6490,3,Michael Turner,Amira Khan,Pioneer Manufacturing,Education,Project Manager,fixed-term,Scotland,2025-12-25,2027-02-19,not applicable,1,paid,yes
30800365,8050494,completed,56,45500,yes,10,yes,13,5915,4,Marta Nowak,Grace Mitchell,Vertex Retail Solutions,Healthcare,QA Engineer,permanent,Republic of Ireland,2025-08-10,2026-06-25,not applicable,9,paid,no
25336308,2186556,terminated,29,48000,pending,6,maybe,11,5280,3,Robert Lewis,Holly Evans,MetroGov Digital,Healthcare,Solutions Architect,contract,England,2025-04-28,2026-06-15,failed,7,partially paid,no
45636092,6974589,terminated,22,33500,no,3,maybe,14,4690,3,Sanjay Rao,Sofia Garcia,Cobalt Consulting,Financial Services,SOC Analyst,contract,Northern Ireland,2025-07-07,2026-12-09,not applicable,1,paid,yes
48175616,8474376,on probation,44,38000,yes,8,yes,10,3800,3,Patrick Murphy,James Wilson,Vertex Retail Solutions,Logistics,Project Manager,temp-to-perm,Remote,2024-01-20,,extended,,paid,no
25842177,1097725,completed,45,60000,yes,5,no,11,6600,3,Robert Lewis,Adam Clarke,Summit Learning Tech,Consulting,Marketing Analyst,permanent,Scotland,2024-12-03,2025-04-29,not applicable,5,paid,no
71801348,8095652,on probation,5,28000,yes,7,maybe,11,3080,2,Claire Robinson,Daniel Hughes,BrightPath Software,Cybersecurity,SOC Analyst,fixed-term,Wales,2024-10-31,,failed,,paid,no
32211463,5311461,completed,10,84000,yes,8,maybe,10,8400,5,Marta Nowak,Amira Khan,Silverline Payments,Energy,Sales Engineer,permanent,Remote,2023-06-21,2023-08-07,not applicable,6,not invoiced,no
33282572,5304423,on probation,49,30000,yes,5,no,17,5100,4,Eoin Kelly,James Wilson,Pioneer Manufacturing,Consulting,Database Administrator,permanent,Scotland,2025-03-27,,failed,,partially paid,no
75893268,2331301,terminated,31,84500,yes,5,maybe,20,16900,3,Robert Lewis,Naomi Patel,BrightPath Software,Telecommunications,Solutions Architect,permanent,Republic of Ireland,2023-11-04,2025-01-02,passed,4,paid,yes
79458837,5428398,terminated,40,45000,no,4,no,15,6750,3,Nadia Hussain,Daniel Hughes,Cobalt Consulting,Retail,Backend Developer,permanent,Republic of Ireland,2025-04-12,2025-07-04,extended,2,paid,yes
19427889,8819311,on probation,41,38500,yes,6,yes,16,6160,2,Oliver Green,Megan Campbell,Summit Learning Tech,Technology,DevOps Engineer,permanent,Wales,2025-09-16,,failed,,paid,no
73194034,7380328,active,41,35500,yes,8,yes,18,6390,3,Claire Robinson,Adam Clarke,OakTree Platforms,Healthcare,HR Coordinator,permanent,Remote,2024-03-31,,not applicable,9,paid,no
18440754,1449859,on probation,59,86500,yes,5,maybe,20,17300,1,Sanjay Rao,Holly Evans,Nimbus Cyber Defence,Financial Services,Cloud Engineer,fixed-term,Wales,2025-02-12,,passed,,pending,no
40979006,6553066,completed,28,48000,pending,9,yes,11,5280,3,Nadia Hussain,Holly Evans,Silverline Payments,Technology,Data Engineer,permanent,England,2025-11-08,2026-10-28,not applicable,7,pending,no
97438274,2452305,terminated,66,49000,yes,6,maybe,13,6370,4,Patrick Murphy,Megan Campbell,BrightPath Software,Financial Services,UX Designer,permanent,Scotland,2023-10-06,2024-11-27,not applicable,4,paid,no
83589705,1347412,extended contract,44,31000,pending,9,yes,12,3720,3,Robert Lewis,Grace Mitchell,Aster Cloud Systems,Cybersecurity,Full Stack Developer,permanent,England,2023-10-12,2024-12-29,failed,10,paid,no
17605196,7189738,completed,34,27000,yes,10,yes,17,4590,3,Oliver Green,Megan Campbell,QuantumWorks,Telecommunications,Data Analyst,temp-to-perm,England,2024-02-12,2024-05-23,not applicable,10,not invoiced,no
51425871,6379488,completed,27,26500,yes,9,maybe,14,3710,4,Patrick Murphy,Daniel Hughes,Orion Telecom,Telecommunications,Project Manager,permanent,Remote,2026-02-17,2026-10-24,passed,9,partially paid,no
54807120,9597352,extended contract,10,24000,yes,7,maybe,17,4080,4,Laura Bennett,Holly Evans,OakTree Platforms,Telecommunications,Finance Analyst,permanent,Wales,2023-08-31,2025-04-19,passed,6,not invoiced,no
65919569,9377927,completed,37,17000,yes,8,yes,12,2040,4,Patrick Murphy,Holly Evans,OakTree Platforms,Telecommunications,Technical Support Engineer,fixed-term,Northern Ireland,2024-04-06,2025-06-12,passed,8,paid,no
46301776,7339557,extended contract,22,60000,yes,10,yes,10,6000,3,Marta Nowak,Priya Nair,Orion Telecom,Logistics,HR Coordinator,temp-to-perm,Remote,2023-10-14,2025-01-25,extended,8,paid,no
95304275,7281617,completed,27,33000,yes,9,yes,11,3630,2,Laura Bennett,Thomas Wright,Cobalt Consulting,Healthcare,Data Analyst,fixed-term,Wales,2023-10-26,2025-01-09,passed,9,pending,no
75706967,1282714,completed,47,31500,yes,10,yes,16,5040,1,Michael Turner,Priya Nair,Foyle Secure Networks,Public Sector,Finance Analyst,fixed-term,Wales,2024-05-25,2025-09-25,failed,9,paid,no
21408347,6497966,active,32,50000,yes,8,maybe,19,9500,4,Sanjay Rao,Priya Nair,Lagan Data Labs,Cybersecurity,Sales Engineer,permanent,Wales,2024-12-11,,not applicable,9,paid,no
29741667,5874170,active,25,41500,yes,6,maybe,11,4565,3,Robert Lewis,Megan Campbell,Summit Learning Tech,Education,Database Administrator,permanent,England,2025-06-26,,not applicable,4,paid,no
20613733,9230747,completed,52,43000,yes,7,yes,15,6450,2,Michael Turner,Holly Evans,MetroGov Digital,Education,QA Engineer,fixed-term,Scotland,2024-01-26,2024-06-03,failed,5,paid,no
39647855,5832216,on probation,19,45500,no,3,maybe,15,6825,3,Patrick Murphy,Naomi Patel,Harbourline Logistics,Energy,Product Manager,contract,England,2024-09-15,,passed,,paid,no
81674865,6234064,active,18,59500,yes,8,yes,17,10115,2,Nadia Hussain,Amira Khan,Foyle Secure Networks,Cybersecurity,DevOps Engineer,fixed-term,Wales,2025-05-11,,not applicable,8,paid,no
46602871,9872324,on probation,30,23500,yes,6,yes,11,2585,3,Oliver Green,James Wilson,Pioneer Manufacturing,Telecommunications,Full Stack Developer,fixed-term,Wales,2026-02-02,,extended,,partially paid,no
79843959,3234155,completed,70,59000,yes,8,yes,16,9440,3,Robert Lewis,Megan Campbell,Nimbus Cyber Defence,Public Sector,Frontend Developer,permanent,Northern Ireland,2023-09-18,2024-10-15,failed,8,paid,no
20300409,5043352,on probation,43,35500,yes,5,no,14,4970,4,Robert Lewis,Priya Nair,Silverline Payments,Cybersecurity,AI Research Engineer,fixed-term,Northern Ireland,2023-03-06,,failed,,paid,no
19755651,8610441,active,21,45000,pending,8,yes,19,8550,2,Claire Robinson,Sean O'Donnell,Orion Telecom,Consulting,DevOps Engineer,permanent,Republic of Ireland,2023-03-12,,not applicable,8,paid,no
43444868,6165739,terminated,60,46000,yes,5,maybe,19,8740,2,Sanjay Rao,Sean O'Donnell,Aster Cloud Systems,Public Sector,Data Engineer,permanent,Scotland,2024-05-16,2025-06-12,extended,3,not invoiced,yes
97000072,1377277,active,45,25500,pending,8,yes,19,4845,4,Emma Collins,Sean O'Donnell,Aster Cloud Systems,Financial Services,HR Coordinator,fixed-term,Republic of Ireland,2023-08-24,,not applicable,7,paid,no
39727757,6940102,on probation,26,98000,yes,6,yes,17,16660,2,Eoin Kelly,Megan Campbell,Nimbus Cyber Defence,Education,Product Manager,permanent,England,2023-07-21,,not applicable,,paid,no
87767699,5771344,active,41,63000,yes,5,no,17,10710,2,Marta Nowak,Priya Nair,Harbourline Logistics,Retail,Sales Engineer,contract,Scotland,2023-11-07,,not applicable,4,paid,no
49570455,6449274,on probation,56,59000,yes,8,yes,11,6490,4,Nadia Hussain,Naomi Patel,Cobalt Consulting,Consulting,Finance Analyst,permanent,Remote,2025-10-31,,not applicable,,paid,no
82168491,4869504,extended contract,34,67000,yes,9,maybe,16,10720,2,Claire Robinson,Naomi Patel,Cedar Finance Group,Retail,Data Analyst,permanent,England,2023-09-16,2024-10-07,not applicable,9,paid,no
48073387,6340410,active,44,59000,yes,8,yes,16,9440,2,Oliver Green,Naomi Patel,Vertex Retail Solutions,Telecommunications,Data Analyst,fixed-term,Republic of Ireland,2025-06-12,,not applicable,8,paid,no
19550895,9470011,completed,65,62000,yes,8,yes,19,11780,3,Michael Turner,Naomi Patel,Vertex Retail Solutions,Telecommunications,Finance Analyst,contract,England,2025-07-30,2026-12-24,extended,7,paid,no
